order_index,source_id,other_id,period_d,amp_gmag,rr_type,dist_kpc,member_prob,separation_arcmin_from_cluster,role
1,4418920808077110784,"V5 (K62)",0.337934,0.46,RRc,20.7,1.00,2.0,cluster
2,4418920846732620032,,0.643239,0.27,RRab,21.7,0.99,2.0,cluster
3,4418914863842345856,"V1 (K62)",0.293229,0.56,RRc,20.4,0.95,2.0,cluster
4,4418726027016125056,"V3 (K62)",0.329948,0.51,RRc,20.7,1.00,3.9,cluster
5,4418725889577171328,"V4 (K62)",0.286366,0.59,RRc,20.3,1.00,4.5,cluster
6,4418731829516302848,,0.281640,0.30,RRc,18.1,0.65,4.9,cluster
7,4418913218870688768,"V2 (K62)",0.332473,0.40,RRc,20.3,1.00,5.1,cluster
8,4418734165978521728,,0.380859,0.52,RRc,22.8,0.91,7.7,cluster
9,4418724034151291776,"403 (V04)",0.551705,1.14,RRab,21.2,1.00,9.8,cluster
10,4418732791593809152,"405 (V04)",0.329670,0.45,RRc,20.7,1.00,11.0,cluster
11,4419052204012341760,"133 (W05)",0.530006,1.01,RRab,20.8,1.00,44.5,stream
12,4418142117622280192,"393 (V04)",0.462671,1.36,RRab,20.0,0.91,118.8,stream
13,6339498589346000768,,0.320110,0.46,RRc,18.9,0.99,217.8,stream
14,6339499379619987200,,0.329577,0.47,RRc,19.4,1.00,218.6,stream
15,6339478312804685824,,0.465883,1.12,RRab,19.9,1.00,242.9,stream
16,4421078432143578496,,0.520749,1.11,RRab,22.0,1.00,246.1,stream
17,6339398155830632448,,0.688316,0.75,RRab,19.8,1.00,258.9,stream
18,4427253907921168000,,0.496334,1.35,RRab,21.8,0.99,362.6,stream
19,4427220338456828416,,0.600796,0.81,RRab,22.0,1.00,384.4,stream
20,4427234700827469952,,0.517911,1.24,RRab,21.9,1.00,392.4,stream
21,6337233350579111680,,0.542383,0.96,RRab,19.0,0.98,450.7,stream
22,4427646704153765632,,0.385552,0.37,RRc,19.9,0.87,456.6,stream
23,4424705647988505600,,0.335502,0.41,RRc,20.9,1.00,513.0,stream
24,4426221707021159424,,0.533313,1.14,RRab,22.0,0.99,550.1,stream
25,4450058431917932672,,0.712626,1.15,RRab,21.1,0.57,857.8,stream
26,4439927909737905280,,0.724974,0.91,RRab,22.2,0.85,1124.3,stream
27,4445607604551159040,,0.456636,1.40,RRab,22.3,0.81,1394.3,stream
