phi1,dm,err,kind,meta,used_in_spline
-19.0,16.498639180088006,0.147361487164116,photometric,,1
-17.0,16.52863918008801,0.16545506692727116,photometric,,1
-15.0,16.64863918008803,0.1967431392499649,photometric,,1
-13.0,16.96863918008808,0.12,photometric,,1
-11.0,16.78863918008805,0.12,photometric,,1
-9.0,17.118639180088103,0.2103319715881036,photometric,,1
-7.0,16.878639180088065,0.12,photometric,,1
-5.0,16.668639180088032,0.19918170541314964,photometric,,1
-3.0,16.64863918008803,0.16383827360712544,photometric,,1
-1.0,16.698639180088037,0.21281668898148032,photometric,,1
1.0,16.683768004764126,0.2129206265138538,photometric,,1
3.0,16.57376800476413,0.17806991917503118,photometric,,1
5.0,16.70376800476413,0.25,photometric,,1
7.0,16.733768004764126,0.21669323397360798,photometric,,1
9.0,16.66376800476413,0.21990972332558006,photometric,,1
0.0,16.725,0.05,rrl_cluster,"cluster_dm_rrl=16.5799, zp=+0.1451",1
-0.7489554141198482,16.735464947529216,0.14,rrl_stream,4419052204012341760,1
1.8856442219020835,16.650298251035316,0.14675987714106858,rrl_stream,4418142117622280192,1
3.5357606640936865,16.52745729358163,0.1407052941362897,rrl_stream,6339498589346000768,1
3.556865362100069,16.58415692236654,0.14,rrl_stream,6339499379619987200,1
3.9847936336510372,16.639413654763942,0.14,rrl_stream,6339478312804685824,1
-4.100186821925263,16.85726167682644,0.14,rrl_stream,4421078432143578496,1
4.144645927402138,16.628474224023066,0.14,rrl_stream,6339398155830632448,1
-6.043445696622086,16.837430740738434,0.1407052941362897,rrl_stream,4427253907921168000,1
-6.417623686572853,16.85726167682644,0.14,rrl_stream,4427220338456828416,1
-6.549183836790149,16.847368846916,0.14,rrl_stream,4427234700827469952,1
7.369913267437028,16.538916277479554,0.1414213562373095,rrl_stream,6337233350579111680,1
-7.619406699560841,16.639413654763942,0.1500957548772913,rrl_stream,4427646704153765632,1
-8.54987666894607,16.74587970327068,0.14,rrl_stream,4424705647988505600,1
-9.168502806849176,16.85726167682644,0.1407052941362897,rrl_stream,4426221707021159424,1
-18.572672410986797,16.876913144968604,0.15185132047305933,rrl_stream,4439927909737905280,1
-22.997405449177876,16.886672587956213,0.15555555555555556,rrl_stream,4445607604551159040,1
