order_index,source_id,other_id,period_d,amp_gmag,rr_type,dist_kpc,member_prob,separation_arcmin_from_cluster,role,RA_ICRS,DE_ICRS,PHI1,PHI2,DM_MAG
1,4418920808077110784,V5 (K62),0.337934,0.46,RRc,20.7,1.00,2.0,cluster,228.99266625761803,-0.09659804838365565,0.005994835287765454,-0.03683453558812101,16.57985172728459
2,4418920846732620032,,0.643239,0.27,RRab,21.7,0.99,2.0,cluster,228.99634825110095,-0.08977613143985393,-0.0008414289599727454,-0.040489819828262205,16.68229866924265
3,4418914863842345856,V1 (K62),0.293229,0.56,RRc,20.4,0.95,2.0,cluster,228.98840114088054,-0.11479928258025933,0.019599614791843578,-0.024013220973670726,16.548150837129494
4,4418726027016125056,V3 (K62),0.329948,0.51,RRc,20.7,1.00,3.9,cluster,229.05318546815684,-0.16753341271842292,-0.005303084281877091,0.055722137302778925,16.57985172728459
5,4418725889577171328,V4 (K62),0.286366,0.59,RRc,20.3,1.00,4.5,cluster,229.02409317322295,-0.1868582773571904,0.029622585458326967,0.05577368807560721,16.537480189566065
6,4418731829516302848,,0.281640,0.30,RRc,18.1,0.65,4.9,cluster,229.09705423020364,-0.1419234982327973,-0.056019066959891006,0.05858807280478322,16.288392874345924
7,4418913218870688768,V2 (K62),0.332473,0.40,RRc,20.3,1.00,5.1,cluster,228.99144962264384,-0.18985356481473498,0.05849394112664186,0.04024928700817017,16.537480189566065
8,4418734165978521728,,0.380859,0.52,RRc,22.8,0.91,7.7,cluster,229.14462533811073,-0.07361857966701019,-0.1333933595261385,0.027899535992926806,16.78967423500227
9,4418724034151291776,403 (V04),0.551705,1.14,RRab,21.2,1.00,9.8,cluster,229.0395752980474,-0.27315259808741965,0.0643556404002652,0.13627226205985882,16.631679304643757
10,4418732791593809152,405 (V04),0.329670,0.45,RRc,20.7,1.00,11.0,cluster,229.20457944030085,-0.1296888719859835,-0.15242662606300428,0.10774999400938094,16.57985172728459
11,4419052204012341760,133 (W05),0.530006,1.01,RRab,20.8,1.00,44.5,stream,229.59832613447668,0.35615964002267,-0.7489554141198482,-0.0799663964516984,16.590316674813806
12,4418142117622280192,393 (V04),0.462671,1.36,RRab,20.0,0.91,118.8,stream,227.7547136669118,-1.6319099765480787,1.8856442219020835,0.5600680457887187,16.505149978319906
13,6339498589346000768,,0.320110,0.46,RRc,18.9,0.99,217.8,stream,226.49224106661583,-2.7154887280116182,3.5357606640936865,0.767730295517723,16.38230902086622
14,6339499379619987200,,0.329577,0.47,RRc,19.4,1.00,218.6,stream,226.45558528264507,-2.6983716168129726,3.556865362100069,0.7332583762317476,16.43900864965113
15,6339478312804685824,,0.465883,1.12,RRab,19.9,1.00,242.9,stream,226.04797123142254,-2.858414976511188,3.9847936336510372,0.6422836117723287,16.494265382048532
16,4421078432143578496,,0.520749,1.11,RRab,22.0,1.00,246.1,stream,232.25954683984892,2.4086794139857037,-4.100186821925263,-0.3238032606425614,16.71211340411103
17,6339398155830632448,,0.688316,0.75,RRab,19.8,1.00,258.9,stream,226.19935058749408,-3.3770185821553356,4.144645927402138,1.1582789475518702,16.483325951307656
18,4427253907921168000,,0.496334,1.35,RRab,21.8,0.99,362.6,stream,233.8687316447468,3.501535918157104,-6.043445696622086,-0.35073548158464724,16.692282468023024
19,4427220338456828416,,0.600796,0.81,RRab,22.0,1.00,384.4,stream,234.3461561789521,3.458275717523767,-6.417623686572853,-0.052476005864834196,16.71211340411103
20,4427234700827469952,,0.517911,1.24,RRab,21.9,1.00,392.4,stream,234.44145202996967,3.5530519634161024,-6.549183836790149,-0.07934288360695345,16.70222057420059
21,6337233350579111680,,0.542383,0.96,RRab,19.0,0.98,450.7,stream,223.62815625219415,-5.346560589391655,7.369913267437028,1.3907525102446687,16.393768004764144
22,4427646704153765632,,0.385552,0.37,RRc,19.9,0.87,456.6,stream,235.3488409180475,4.124125561680175,-7.619406699560841,-0.05916056144384141,16.494265382048532
23,4424705647988505600,,0.335502,0.41,RRc,20.9,1.00,513.0,stream,236.39953342541392,4.222876611043483,-8.54987666894607,0.43287516362683276,16.60073143055527
24,4426221707021159424,,0.533313,1.14,RRab,22.0,0.99,550.1,stream,236.92397529354,4.553540529217872,-9.168502806849176,0.44241268533669853,16.71211340411103
25,4450058431917932672,,0.712626,1.15,RRab,21.1,0.57,857.8,stream,241.7305070301176,6.490471448595844,-14.237764845243277,1.4161272319109746,16.621412276488464
26,4439927909737905280,,0.724974,0.91,RRab,22.2,0.85,1124.3,stream,246.05810218111125,7.805357942932928,-18.572672410986797,2.5986526198761553,16.731764872253194
27,4445607604551159040,,0.456636,1.40,RRab,22.3,0.81,1394.3,stream,250.34417356581125,9.346229401928854,-22.997405449177876,3.5000058529484326,16.741524315240802
